name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude_1,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Elmwood Farm,"1014 Nolte Dr, Dallas, TX 75208, USA",32.733665,-96.839587,https://www.elmwoodfarm.co/,"establishment, point_of_interest",ChIJU0-cis2bToYRyZtlm5ZeI_o,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joppy Momma's Farm,"7728 Carbondale St, Dallas, TX 75216, USA",32.7167069,-96.7508318,https://joppymommas.org/,"establishment, point_of_interest",ChIJ83XUCMSXToYRGSEJdqmd8Qo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatcher Station Training Farm,"4500 Todd St, Dallas, TX 75210, USA",32.766178,-96.7441991,http://www.restorativefarms.org/,"establishment, point_of_interest",ChIJIUgpTvSjToYRBuHzeEgdWuw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunnicut Farm,"6532 Hunnicut Rd, Dallas, TX 75227, USA",32.779563,-96.7196785,Not listed,"establishment, point_of_interest",ChIJtytHsQ6jToYR1hwp3WaBf5E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Ellum Urban Gardens,"403 S Good Latimer Expy, Dallas, TX 75226, USA",32.7812813,-96.7861767,https://m.facebook.com/Deepellumurbangardens/,"establishment, point_of_interest",ChIJ_dWKR-eYToYRZZFq0tCCTic,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuell Farm,"100 US-80, Mesquite, TX 75149, USA",32.7860749,-96.5842866,https://www.dallasparks.org/Facilities/Facility/Details/Samuell-East-Farm-648,"establishment, park, point_of_interest",ChIJ-ShZu4-lToYRcylZzhNHz30,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Trees Foundation Urban Tree Farm,"Parking, 12800 Abrams Rd Lot D, Dallas, TX 75243, USA",32.9230424,-96.7347579,http://www.texastrees.org/,"establishment, point_of_interest",ChIJ4R0VoJMfTIYRYMVp1N9VnRI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms Extension,"12400 Ravenview Rd, Dallas, TX 75253, USA",32.694169,-96.603067,http://www.bontonfarms.org/,"establishment, point_of_interest",ChIJg91ZoOy6ToYRO4ne1iLt44A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wylie Urban Farm & Market,"2315 E Stone Rd, Wylie, TX 75098, USA",33.0064287,-96.500148,https://wylieurbanfarmmarket.com/,"establishment, point_of_interest",ChIJEbK9ztUFTIYREApXtQ9LFag,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Giving Garden at Jacob's Reward Farm,"4308 Church Ln, Parker, TX 75002, USA",33.0597198,-96.621203,http://the-giving-garden.org/,"establishment, food, point_of_interest, store",ChIJiY2TX_UaTIYR3Akecl12Amw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Brother Farms,"2636 Walnut Hill Ln, Dallas, TX 75220, USA",32.8792981,-96.8890047,Not listed,"establishment, point_of_interest",ChIJez7OWr-YToYRxegAA6upHTs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Alpacas,"18492 Farm to Market Rd 2755, Royse City, TX 75189, USA",32.99650099999999,-96.417924,http://www.urbanalpaca.farm/,"establishment, point_of_interest",ChIJe8-ZJa4ATIYRcQQR2MJziMk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blase Family Farm,"1232 E Fork Rd, Rockwall, TX 75087, USA",32.9427778,-96.4733333,https://www.blasefamilyfarm.com/,"establishment, point_of_interest",ChIJS1wbHJcBTIYRSMDVZUnxDgI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Farmers Market,"920 S Harwood St, Dallas, TX 75201, USA",32.7775406,-96.7900636,http://www.dallasfarmersmarket.org/,"establishment, food, point_of_interest, restaurant, shopping_mall",ChIJwfu5e-GYToYRikmj_Cz3-bw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA Urban Service Center - Agriculture,"3102 Maple Ave #100, Dallas, TX 75201, USA",32.7991514,-96.8079183,http://www.farmers.gov/,"establishment, point_of_interest",ChIJISCregCZToYRzzcb9vhUGyk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden's Organic Garden Center & CSA Farm,"4710 Pioneer Rd, Balch Springs, TX 75180, USA",32.7058244,-96.6053968,http://www.edensorganicgardencenter.com/,"establishment, point_of_interest, store",ChIJ45xm7cC6ToYRjG_NnSXH-Fs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Farms,"1171 N Cockrell Hill Rd, Dallas, TX 75211, USA",32.7507433,-96.8922056,http://www.taylorfarms.com/,"establishment, point_of_interest, storage",ChIJVVVVVeWaToYRdoYkAeK_Tsw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Provisions,"1451 John West Rd, Dallas, TX 75228, USA",32.8076164,-96.6928087,http://marketprovisions.org/,"establishment, food, point_of_interest, store",ChIJvbUKj-GYToYRepfkgxFKEIA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cedar Market Ranch,"2434 S Harwood St, Dallas, TX 75215, USA",32.7683924,-96.7798233,http://www.thecedarmarketranch.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJ9YuRq2mZToYRuLnANkPP3Kg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Market Hall,"2200 N Stemmons Fwy, Dallas, TX 75207, USA",32.8032476,-96.8293608,http://www.dallasmarketcenter.com/public,"establishment, point_of_interest",ChIJMaduqayeToYRo1l_G4XUTII,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia's Farmer's Market,"916 E 15th St, Plano, TX 75074, USA",33.0195431,-96.7021415,Not listed,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJR15abxwZTIYR84hGCkchrjI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Garden Dallas,"111 Oak Lawn Ave, Dallas, TX 75207, USA",32.7903968,-96.8250878,http://thegardendallas.com/,"bar, establishment, food, point_of_interest, restaurant",ChIJV00_kFeZToYREkF9vL-gsyc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruibal's Plants of Texas,"601 S Pearl Expy, Dallas, TX 75201, USA",32.778552,-96.7905,http://ruibals.com/,"establishment, florist, point_of_interest, store",ChIJD32EM-CYToYRyYbVi5DML3c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Street Garden Park,"1902 Main St, Dallas, TX 75201, USA",32.7811695,-96.7948469,http://mainstreetgarden.org/,"establishment, park, point_of_interest, tourist_attraction",ChIJRfzcnR-ZToYRg8yt9Ky1Hww,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Quinn Farmers Market,"3837 Simpson Stuart Rd, Dallas, TX 75241, USA",32.6789702,-96.7558858,https://paulquinn.edu/we-me-farm/,"establishment, point_of_interest",ChIJ46B6P9GXToYRSvg_O9nUL6U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Market Center,"2100 N Stemmons Fwy, Dallas, TX 75207, USA",32.8026898,-96.8260991,http://dallasmarketcenter.com/,"establishment, point_of_interest",ChIJccUIplKZToYR_FqApPa6YIM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Trade Center,"2050 N Stemmons Fwy, Dallas, TX 75207, USA",32.8036356,-96.8237485,https://www.dallasmarketcenter.com/,"establishment, point_of_interest",ChIJe2osU62eToYREM2vmDQbrc8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmer's Delite,"440 S Hampton Rd, DeSoto, TX 75115, USA",32.58298,-96.856576,https://www.facebook.com/FarmersDelite/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJc2fQCaKTToYRlaEgSo-CoJc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Gardens Terrariums,"3116 Commerce St Ste C, Dallas, TX 75226, USA",32.7840317,-96.7778207,http://www.energygardens.shop/,"establishment, point_of_interest",ChIJzaWwgo6ZToYRs8WEUoivx_E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Street Gardens,"1520 Elm St #201, Dallas, TX 75201, USA",32.7813827,-96.7986925,Not listed,"establishment, park, point_of_interest",ChIJsS4UoxiZToYRvnXeYw5B6n4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dallas Community Garden,"1416 N Fitzhugh Ave, Dallas, TX 75204, USA",32.8045316,-96.7742119,Not listed,"establishment, park, point_of_interest",ChIJ9WgmPcuYToYRP3-VODR1iUE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Garden,"1014 Main St, Dallas, TX 75202, USA",32.7795971,-96.8022293,https://parksfordowntowndallas.org/civic-garden/,"establishment, park, point_of_interest, tourist_attraction",ChIJSWNvMBiZToYRXM9CJnt6X2E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talise Microgreens LLC,"17811 Davenport Rd suite 52, Dallas, TX 75252, USA",32.9916954,-96.7947044,Not listed,"establishment, point_of_interest",ChIJG_SzingjTIYRtde756JMl9E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFF Agriculture,"6700 Co Rd 239, Terrell, TX 75160, USA",32.7621535,-96.3587934,http://breedenfreshfarms.com/,"establishment, point_of_interest",ChIJ302REfhTSYYRMPKOEOwZO7Y,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Harvest Hydroponics & Organics,"3101 Avenue E, Arlington, TX 76011, USA",32.7571817,-97.0521129,http://www.abhydro.com/,"establishment, point_of_interest, store",ChIJJ-LSKgOHToYRsyQ6k9vLiLE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hort Americas - Wholesale Hydroponic Farming Supply Company in Dallas,"2801 Renee St, Bedford, TX 76021, USA",32.851105,-97.100908,http://hortamericas.com/,"establishment, food, point_of_interest",ChIJ1Qx59tx_ToYR4gLp_420YQM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World of Organics Garden Supply,"230 W Parker Rd #180c, Plano, TX 75075, USA",33.0395465,-96.7081954,https://worldoforganicsandhydroponics.com/,"establishment, food, point_of_interest, store",ChIJv2w4-C8fTIYRPKQaz6pGZTI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Green Star, LLC","4122 Cowling Rd, Sanger, TX 76266, USA",33.3213005,-97.1735839,http://www.texasgreenstar.com/,"establishment, point_of_interest",ChIJJV98t2-zTYYRu1SyCH40mD4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardenuity,"2222 Vantage St, Dallas, TX 75207, USA",32.7993729,-96.8339266,https://www.gardenuity.com/?y_source=1_MTIwNjA4NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU=,"establishment, home_goods_store, point_of_interest, store",ChIJdfEPzc2eToYRCwgP3VJMAA4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Grow Rooms,"8339 Hoyle Ave, Dallas, TX 75227, USA",32.7747592,-96.6764068,https://greengrowrooms.com/,"establishment, point_of_interest",ChIJtTrOimyjToYRMyMrhvXWWiQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Farms,"9811 Travis Trail, Dallas, TX 75241, USA",32.631323,-96.756804,http://www.newlifefarms.org/,"establishment, point_of_interest",ChIJnXKkiCGXToYRSG8r-lki7-I,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boterna Vertical Farms,"1512 I-35W Ste 108, Denton, TX 76207, USA",33.1985646,-97.1682651,http://www.boterna.com/,"establishment, point_of_interest",ChIJeQq1sarLTYYRjavIXeSiIk8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Haven Gardens,"7700 Northaven Rd, Dallas, TX 75230, USA",32.90013,-96.77556,https://www.nhg.com/,"establishment, point_of_interest, store",ChIJk-Y0CnQgTIYRIk80cUbLr7g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantkeeper Inc. / Scape Supply Co.,"2211 N Beckley Ave, Dallas, TX 75208, USA",32.7702777,-96.8234675,https://plantkeeperinc.com/,"establishment, point_of_interest",ChIJQU_gbfQnTIYRas0sKA0Af8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honey Locust Farms, LLC","4571 TX-276, Rockwall, TX 75032, USA",32.9040706,-96.3798526,http://www.honeylocustfarms.org/,"clothing_store, establishment, point_of_interest, store",ChIJ-4tvi39VSYYR9k0VRtne_nU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Green Branch,"5530 Parkdale Dr, Dallas, TX 75227, USA",32.779826,-96.7255969,Not listed,"establishment, point_of_interest",ChIJQ4wwLEKiToYRclX_gaz9nH0,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Phoenix Farms,"900 N Walnut Creek Dr, Mansfield, TX 76063, USA",32.5773172,-97.1321099,Not listed,"establishment, point_of_interest",ChIJAQCQyKZhToYRCaAaXH47LWw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bumper Crop Farms Country Store/ H2O Water Works, Inc.","6599 FM 1886, Azle, TX 76020, USA",32.8289892,-97.6241123,Not listed,"establishment, point_of_interest",ChIJUz79vegHToYRKOv4gRqTNNw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timberview Farmstead,"4274 Timberview Dr, Fort Worth, TX 76140, USA",32.6272985,-97.2538744,https://timberviewfarmstead.com/,"establishment, point_of_interest",ChIJx4GSMu5lToYRnRIqii1H1GQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Aquaponics,"329 Vz County Rd 1323, Canton, TX 75103, USA",32.548777,-95.763597,http://trueaquaponics.com/store,"establishment, point_of_interest",ChIJpQmOT_oKSYYR3GKPRc7m4-U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vickery Wholesale Greenhouse,"4911 E Grand Ave, Dallas, TX 75223, USA",32.7875539,-96.7544595,http://www.vickerygreenhouse.com/,"establishment, florist, food, point_of_interest, store",ChIJo01meaGYToYRdxtYLC1AwyU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotham Greens Seagoville,"800 Environmental Way, Seagoville, TX 75159, USA",32.6460278,-96.5635523,https://www.gothamgreens.com/,"establishment, food, point_of_interest",ChIJA24ItduxToYRq4cIV-6Kv8w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksons Home & Garden,"6950 Lemmon Ave, Dallas, TX 75209, USA",32.8429693,-96.8337923,http://www.jacksonshg.com/,"establishment, food, furniture_store, home_goods_store, point_of_interest, store",ChIJWXVJk4GeToYRb1dlQuytDnU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolke Greenhouses,"1908 S Hampton Rd, Glenn Heights, TX 75154, USA",32.5545143,-96.8561534,http://www.rolkegreenhouses.com/,"establishment, food, general_contractor, point_of_interest, store",ChIJmxA3mWqTToYRzYJZW5avcNo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doan's Nursery Inc,"622 S Belt Line Rd, Irving, TX 75060, USA",32.8081459,-96.9936159,https://doans-nursery.com/,"establishment, point_of_interest",ChIJ8R-qBe-DToYRP8d9GBzbjQE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cox Farms Nursery,"110 Azalea Ln, Duncanville, TX 75137, USA",32.6401328,-96.9077066,http://coxfarmsmarket.com/,"establishment, point_of_interest",ChIJ4ZgN3NCRToYR6BAc17fqj8g,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Hill Farm,"1604 Mars Rd, Ferris, TX 75125, USA",32.5880891,-96.6426047,http://www.marshillfarm.com/,"establishment, point_of_interest",ChIJFep8-N25ToYRpMVbm_1nTnI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Acres Nursery & Supply,"2800 Ranch Trail, Irving, TX 75063, USA",32.9239542,-96.9843529,http://www.idiggreenacres.com/,"establishment, furniture_store, home_goods_store, point_of_interest, store",ChIJP8dF1LApTIYRQ7zgyhve7co,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oasis Plant Shop,"416 W Eighth St, Dallas, TX 75208, USA",32.7478714,-96.8291397,http://oasisplantshop.com/,"establishment, food, furniture_store, general_contractor, home_goods_store, point_of_interest, store",ChIJ5Vbb68SZToYROPydCKnnE-k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phuong's Nursery & Home Decor,"4022 Broadway Blvd, Garland, TX 75043, USA",32.8647409,-96.6039341,http://phuongsnursery.com/,"establishment, point_of_interest",ChIJvUDAIrSnToYRQnl6xRhqkak,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFW Vertical Farms LLC ( LVLUP MICRO),"7800 Windrose Ave. #200, Plano, TX 75024, USA",33.083161,-96.8258615,https://www.lvlupmicro.com/,"establishment, point_of_interest",ChIJsfs-tcc9TIYRuXCcFbaLg1s,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Vertical Farming,"116 Randy Rd, Waxahachie, TX 75165, USA",32.4774247,-96.8025513,Not listed,"establishment, point_of_interest",ChIJI4K3aqDrToYR9Pling03mQI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huddin Homestead Fun Farm,"1666 FM1141, Rockwall, TX 75087, USA",32.944298,-96.4371502,http://www.huddinfarm.com/,"establishment, point_of_interest",ChIJcUZRYOUBTIYRzAcgUZY-Z5c,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nash Farm,"626 Ball St, Grapevine, TX 76051, USA",32.9343836,-97.0856824,http://www.nashfarm.org/,"establishment, point_of_interest",ChIJ46rrJi4rTIYR3jEYk1ZjK_M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
